"build","experimentName","subject","date","time","trialcode","blockcode","stimulusitem1","trial.choice.percentcorrect","trial.choice.latency","trial.choice.response","picture.correctStim.currentvalue","picture.incorrectStim.currentvalue","block_number","task_phase","index_correctChoice","index_incorrectChoice","correctChoicePosition","rightleftcorrect","correctKey","incorrectKey","percentTrialsCorrectFeedback_correctStim","percentTrialsCorrectFeedback_incorrectStim","responseAndFeedbackCategory","isThisTrialPractice","isResponseCorrect","isFeedbackAccurate","trial_number","total_trialnum","numbercorrectfeedback","numbercorrectfeedback_block","totalcorrect","consecutivecorrect","reversalnumber","totalearnings","centsearned"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","443","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","27","27","13","13","21","5","19","6.5","6.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","443","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","27","27","14","14","22","6","19","7","7"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","342","36","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","28","28","14","14","22","6","19","7","7"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","342","36","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","28","28","14","14","22","0","19","7","7"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","355","33","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","29","29","14","14","22","0","19","7","7"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","355","33","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","29","29","14","14","22","0","19","7","7"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","339","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","30","30","14","14","22","0","19","7","7"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","339","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","30","30","14","14","23","1","19","7","7"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","205","36","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","31","31","14","14","23","1","19","7","7"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","205","36","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","31","31","15","15","23","0","19","7.5","7.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","317","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","32","32","15","15","23","0","19","7.5","7.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","317","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","32","32","16","16","24","1","19","8","8"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","363","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","33","33","16","16","24","1","19","8","8"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","363","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","33","33","16","16","25","2","19","8","8"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","390","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","34","34","16","16","25","2","19","8","8"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","390","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","34","34","17","17","26","3","19","8.5","8.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","356","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","35","35","17","17","26","3","19","8.5","8.5"
